train_no,train_type,current_station,next_station,distance_remaining_km,current_speed_kmph,current_delay_min,historical_avg_delay_min,congestion_score,weather,hour,day_of_week,actual_remaining_time_min
12951,Rajdhani,Mumbai,Surat,223.9,68.7,20.9,5.6,0.205,Rain,0,2,204.3
12723,Express,Vijayawada,Gudur,166.9,59.3,30.3,24.0,0.194,Clear,6,1,208.7
12723,Express,Warangal,Vijayawada,240.1,74.5,10.5,5.3,0.08,Rain,2,2,212.1
12259,Duronto,DDU,New Delhi,244.0,72.0,15.5,18.5,0.27,Rain,9,6,230.9
12301,Rajdhani,Prayagraj,DDU,143.8,49.2,5.2,0.0,0.21,Clear,4,4,185.8
12627,Express,Vijayawada,Warangal,186.7,59.3,7.8,13.7,0.126,Clear,5,2,193.8
12259,Duronto,Asansol,Dhanbad,120.5,77.8,6.7,14.9,0.279,Clear,2,6,108.1
12627,Express,Chennai,Gudur,160.0,61.1,11.2,17.1,0.394,Clear,0,2,153.1
12259,Duronto,Asansol,Dhanbad,112.0,74.4,15.7,19.3,0.017,Rain,3,6,112.3
12301,Rajdhani,New Delhi,Kanpur,183.7,64.3,11.6,20.4,0.383,Heavy Rain,0,6,180.1
12860,Express,Pune,Solapur,227.6,74.8,27.8,5.3,0.576,Clear,2,2,207.5
12301,Rajdhani,DDU,Gaya,213.7,83.0,0.5,0.0,0.142,Clear,7,3,134.3
12259,Duronto,Asansol,Dhanbad,114.6,66.6,43.5,1.0,0.36,Heavy Rain,2,4,130.7
12301,Rajdhani,DDU,Gaya,158.8,79.3,23.1,17.1,0.166,Clear,7,3,138.5
12259,Duronto,Dhanbad,Gaya,197.1,73.1,19.1,10.3,0.145,Clear,3,2,154.3
12627,Express,Chennai,Gudur,151.8,55.1,20.2,0.0,0.203,Fog,0,0,167.7
12951,Rajdhani,Surat,Vadodara,138.8,68.5,13.4,0.0,0.262,Rain,2,4,127.2
12860,Express,Kalaburagi,Wadi,110.3,78.5,7.0,10.1,0.39,Clear,8,3,91.9
12301,Rajdhani,Prayagraj,DDU,211.8,71.0,-3.4,15.1,0.063,Rain,4,3,165.3
12301,Rajdhani,Kanpur,Prayagraj,222.7,78.9,8.5,1.3,0.106,Clear,2,0,169.4
12301,Rajdhani,Prayagraj,DDU,189.5,71.8,20.7,0.3,0.312,Clear,5,0,166.4
12723,Express,Vijayawada,Gudur,208.0,58.0,-3.1,9.7,0.201,Clear,5,6,199.2
12951,Rajdhani,Kota,New Delhi,208.5,66.4,20.7,5.9,0.038,Clear,10,2,214.5
12301,Rajdhani,Prayagraj,DDU,188.2,64.6,35.0,6.7,0.18,Heavy Rain,5,2,190.5
12627,Express,Gudur,Nellore,63.7,61.6,5.5,14.8,0.169,Fog,2,4,78.7
12301,Rajdhani,DDU,Gaya,145.8,70.0,18.2,13.0,0.481,Clear,7,1,160.9
12259,Duronto,Sealdah,Asansol,227.9,79.5,6.7,13.2,0.357,Rain,0,0,153.9
12951,Rajdhani,Mumbai,Surat,167.5,63.4,-5.0,22.4,0.133,Clear,0,0,195.7
12723,Express,Kazipet,Warangal,40.0,64.7,-5.0,5.2,0.305,Clear,2,6,36.6
12860,Express,Pune,Solapur,205.9,60.4,20.5,16.2,0.28,Clear,3,5,207.1
12627,Express,Nellore,Vijayawada,137.4,51.1,4.5,1.0,0.437,Heavy Rain,3,4,213.3
12301,Rajdhani,Gaya,Howrah,190.1,70.7,3.5,11.1,0.582,Clear,10,1,178.9
12301,Rajdhani,New Delhi,Kanpur,210.4,78.4,-5.0,24.0,0.537,Clear,23,3,164.8
12301,Rajdhani,Gaya,Howrah,196.7,72.4,35.6,2.3,0.511,Clear,10,4,187.2
12951,Rajdhani,Mumbai,Surat,215.5,82.9,22.0,0.0,0.249,Heavy Rain,23,1,193.7
12860,Express,Solapur,Kalaburagi,143.5,67.0,12.0,13.4,0.529,Clear,5,3,157.3
12627,Express,Vijayawada,Warangal,149.0,52.5,14.7,21.7,0.157,Rain,6,5,216.1
12723,Express,Hyderabad,Kazipet,133.8,68.0,10.2,3.4,0.093,Clear,0,1,137.7
12723,Express,Vijayawada,Gudur,208.4,70.5,0.9,18.9,0.405,Clear,5,1,202.3
12627,Express,Warangal,Secunderabad,192.9,63.2,10.2,6.7,0.14,Heavy Rain,9,0,204.2
12259,Duronto,Dhanbad,Gaya,153.4,66.5,13.2,29.9,0.111,Rain,3,3,168.6
12723,Express,Vijayawada,Gudur,219.1,65.1,17.7,9.0,0.066,Heavy Rain,6,4,212.8
12259,Duronto,Sealdah,Asansol,138.1,55.7,-3.4,2.5,0.231,Fog,23,2,165.9
12301,Rajdhani,Gaya,Howrah,199.7,69.1,13.8,0.0,0.44,Rain,9,5,200.8
12627,Express,Warangal,Secunderabad,178.0,55.6,17.3,21.0,0.445,Rain,9,3,207.4
12627,Express,Nellore,Vijayawada,249.3,82.8,29.2,10.7,0.37,Clear,3,4,195.2
12301,Rajdhani,New Delhi,Kanpur,195.0,73.5,-5.0,21.0,0.253,Clear,0,4,161.3
12627,Express,Nellore,Vijayawada,159.9,56.7,-5.0,16.7,0.134,Heavy Rain,4,0,198.8
12301,Rajdhani,Gaya,Howrah,180.3,58.4,2.4,14.6,0.294,Clear,9,4,186.0
12627,Express,Warangal,Secunderabad,172.8,58.3,9.1,0.0,0.633,Heavy Rain,9,2,207.5
12627,Express,Chennai,Gudur,160.4,68.5,-5.0,15.8,0.212,Fog,0,1,161.2
12259,Duronto,DDU,New Delhi,251.3,67.8,7.8,0.0,0.37,Heavy Rain,9,2,224.6
12951,Rajdhani,Ratlam,Kota,244.9,78.5,18.6,3.4,0.295,Fog,7,5,197.9
12723,Express,Hyderabad,Kazipet,144.6,64.9,29.7,17.0,0.308,Heavy Rain,0,2,153.0
12259,Duronto,Gaya,DDU,179.1,64.7,-1.2,6.4,0.608,Clear,6,4,185.4
12860,Express,Mumbai,Pune,189.5,58.9,29.4,9.8,0.144,Clear,0,4,206.6
12627,Express,Vijayawada,Warangal,239.5,73.6,-5.0,2.4,0.336,Clear,6,5,196.2
12627,Express,Nellore,Vijayawada,190.5,72.3,17.1,0.0,0.251,Clear,3,1,199.0
12301,Rajdhani,Gaya,Howrah,225.2,70.1,12.7,3.3,0.253,Fog,9,3,182.0
12301,Rajdhani,DDU,Gaya,156.9,74.4,8.5,0.0,0.256,Rain,8,1,144.5
12860,Express,Pune,Solapur,199.3,65.0,40.9,23.2,0.305,Clear,3,4,193.3
12951,Rajdhani,Mumbai,Surat,271.3,80.8,-5.0,6.6,0.663,Clear,0,5,189.3
12627,Express,Warangal,Secunderabad,156.3,58.9,4.9,6.6,0.208,Clear,8,3,192.1
12860,Express,Mumbai,Pune,135.1,49.5,23.6,12.3,0.05,Clear,0,2,221.6
12627,Express,Nellore,Vijayawada,189.2,70.1,-0.2,1.6,0.266,Clear,4,4,185.4
12860,Express,Pune,Solapur,119.1,45.1,15.1,15.0,0.51,Clear,3,5,212.0
12259,Duronto,Sealdah,Asansol,136.9,61.8,25.3,22.8,0.625,Fog,0,5,178.7
12301,Rajdhani,Prayagraj,DDU,200.9,71.0,29.0,0.0,0.48,Clear,5,4,176.0
12301,Rajdhani,Prayagraj,DDU,188.4,66.3,1.5,16.1,0.237,Clear,4,4,177.7
12951,Rajdhani,Surat,Vadodara,179.9,83.2,19.9,11.0,0.281,Clear,3,2,121.0
12259,Duronto,Gaya,DDU,167.6,58.1,-4.6,5.0,0.157,Clear,6,6,175.2
12627,Express,Nellore,Vijayawada,232.9,77.9,18.8,17.0,0.262,Clear,3,2,186.9
12860,Express,Mumbai,Pune,182.2,59.4,33.6,15.5,0.214,Clear,23,3,208.8
12860,Express,Mumbai,Pune,192.4,69.0,25.7,4.8,0.154,Clear,0,4,200.6
12951,Rajdhani,Surat,Vadodara,169.9,79.8,5.5,5.6,0.285,Clear,3,4,126.9
12301,Rajdhani,New Delhi,Kanpur,211.7,87.0,6.9,0.0,0.1,Clear,0,1,167.4
12860,Express,Mumbai,Pune,175.7,63.2,13.3,30.9,0.477,Fog,23,2,226.1
12860,Express,Pune,Solapur,211.5,74.2,11.1,14.9,0.518,Fog,3,1,202.1
12951,Rajdhani,Surat,Vadodara,154.8,68.9,32.0,14.1,0.161,Heavy Rain,2,2,145.2
12301,Rajdhani,Prayagraj,DDU,205.7,71.5,18.6,5.3,0.232,Clear,5,6,171.6
12723,Express,Warangal,Vijayawada,209.3,66.9,13.0,15.5,0.173,Rain,2,0,204.7
12860,Express,Pune,Solapur,171.0,58.9,46.0,11.6,0.152,Clear,3,2,204.7
12259,Duronto,Asansol,Dhanbad,132.3,73.4,12.1,14.2,0.286,Clear,2,6,113.5
12627,Express,Warangal,Secunderabad,221.1,78.3,23.3,9.5,0.113,Clear,9,5,190.3
12259,Duronto,Gaya,DDU,181.1,63.9,2.7,29.1,0.169,Clear,6,6,176.1
12627,Express,Nellore,Vijayawada,143.6,54.9,14.2,16.4,0.057,Clear,3,3,196.3
12951,Rajdhani,Vadodara,Ratlam,231.0,80.3,-5.0,0.0,0.217,Fog,5,2,167.6
12951,Rajdhani,Kota,New Delhi,214.9,73.8,2.3,13.8,0.121,Rain,10,4,206.9
12259,Duronto,Sealdah,Asansol,150.6,64.9,5.3,10.4,0.251,Clear,0,6,158.3
12860,Express,Wadi,Secunderabad,156.2,53.4,29.0,20.3,0.452,Clear,11,4,193.9
12951,Rajdhani,Kota,New Delhi,271.7,73.8,8.3,15.9,0.351,Rain,10,4,209.0
12723,Express,Hyderabad,Kazipet,110.3,49.1,32.1,10.7,0.362,Clear,0,1,152.4
12723,Express,Vijayawada,Gudur,224.0,63.4,41.4,22.4,0.17,Clear,5,6,224.1
12723,Express,Kazipet,Warangal,40.0,52.8,11.5,11.4,0.031,Heavy Rain,1,0,66.6
12627,Express,Vijayawada,Warangal,179.7,59.8,33.3,15.2,0.162,Clear,5,2,200.9
12860,Express,Pune,Solapur,199.6,63.3,6.1,23.7,0.123,Clear,2,1,183.6
12301,Rajdhani,Prayagraj,DDU,205.2,68.6,12.7,0.0,0.318,Clear,5,1,172.7
12951,Rajdhani,Kota,New Delhi,242.1,65.9,25.8,16.1,0.033,Rain,10,4,212.3
12301,Rajdhani,Prayagraj,DDU,152.8,67.4,7.3,9.7,0.087,Clear,6,3,165.6
12301,Rajdhani,Kanpur,Prayagraj,205.9,67.5,20.2,5.0,0.261,Fog,3,0,178.9
12259,Duronto,Dhanbad,Gaya,159.7,60.7,11.8,0.0,0.223,Rain,3,0,167.9
12259,Duronto,DDU,New Delhi,184.4,59.3,18.0,12.0,0.192,Rain,9,0,212.6
12301,Rajdhani,Gaya,Howrah,202.0,65.0,18.9,12.3,0.12,Clear,9,0,179.7
12301,Rajdhani,Gaya,Howrah,189.6,74.2,13.4,3.4,0.198,Rain,11,1,186.1
12627,Express,Gudur,Nellore,80.0,68.5,12.8,14.9,0.154,Clear,2,3,76.4
12259,Duronto,Asansol,Dhanbad,133.4,80.2,-1.3,24.9,0.261,Clear,2,2,107.5
12301,Rajdhani,DDU,Gaya,143.0,64.1,34.1,17.4,0.465,Clear,7,3,164.5
12860,Express,Mumbai,Pune,224.9,66.0,14.4,0.0,0.118,Rain,23,6,205.4
12860,Express,Mumbai,Pune,170.8,56.9,34.0,10.8,0.375,Heavy Rain,23,4,228.7
12301,Rajdhani,Gaya,Howrah,220.7,78.7,15.9,8.7,0.392,Rain,9,6,188.7
12627,Express,Warangal,Secunderabad,173.3,56.8,4.8,27.9,0.4,Clear,8,6,210.1
12951,Rajdhani,Surat,Vadodara,136.9,79.7,18.5,11.0,0.495,Clear,3,4,136.5
12860,Express,Wadi,Secunderabad,152.8,58.7,22.3,19.2,0.465,Clear,10,1,180.2
12259,Duronto,Asansol,Dhanbad,125.0,72.4,10.3,0.5,0.251,Rain,2,3,117.0
12627,Express,Warangal,Secunderabad,178.0,63.4,-2.1,0.0,0.088,Clear,9,4,191.6
12627,Express,Chennai,Gudur,148.5,59.8,16.7,0.5,0.046,Rain,23,0,156.7
12301,Rajdhani,Gaya,Howrah,219.2,82.2,30.1,11.6,0.492,Clear,10,5,194.9
12627,Express,Gudur,Nellore,52.2,52.2,11.9,17.5,0.224,Clear,3,4,83.1
12723,Express,Hyderabad,Kazipet,148.9,66.3,27.6,21.4,0.126,Rain,23,5,146.1
12301,Rajdhani,Kanpur,Prayagraj,163.3,71.7,8.8,10.4,0.167,Fog,2,3,183.0
12627,Express,Vijayawada,Warangal,205.5,61.8,-5.0,24.4,0.269,Clear,5,4,193.2
12723,Express,Vijayawada,Gudur,209.7,75.1,10.2,15.4,0.321,Rain,5,4,212.0
12951,Rajdhani,Mumbai,Surat,236.7,72.5,24.1,10.8,0.232,Clear,23,1,199.7
12259,Duronto,Dhanbad,Gaya,156.1,67.6,3.2,0.0,0.155,Rain,3,0,137.9
12301,Rajdhani,DDU,Gaya,165.8,67.0,22.5,9.0,0.137,Clear,7,5,154.0
12301,Rajdhani,New Delhi,Kanpur,201.2,67.8,-1.9,0.0,0.107,Fog,0,1,167.4
12860,Express,Mumbai,Pune,152.1,53.4,1.6,19.8,0.014,Rain,23,4,208.2
12627,Express,Warangal,Secunderabad,175.5,62.7,1.3,0.0,0.402,Clear,9,6,192.0
12860,Express,Kalaburagi,Wadi,72.9,49.4,3.8,21.9,0.505,Clear,8,0,105.7
12723,Express,Vijayawada,Gudur,190.6,57.4,-5.0,0.9,0.277,Clear,6,5,202.1
12860,Express,Mumbai,Pune,201.7,63.7,6.8,3.9,0.211,Clear,0,0,201.5
12627,Express,Warangal,Secunderabad,134.3,44.4,6.1,19.3,0.39,Rain,8,0,219.6
12627,Express,Chennai,Gudur,185.1,82.5,6.8,18.1,0.284,Clear,23,4,147.9
12301,Rajdhani,Gaya,Howrah,208.9,71.4,-1.1,6.9,0.416,Clear,9,5,179.2
12301,Rajdhani,New Delhi,Kanpur,174.3,71.0,9.2,12.1,0.161,Rain,0,5,160.6
12259,Duronto,Sealdah,Asansol,201.0,81.6,-0.1,11.7,0.216,Rain,0,3,155.4
12259,Duronto,DDU,New Delhi,224.6,72.9,10.3,22.3,0.34,Clear,8,0,213.6
12301,Rajdhani,Prayagraj,DDU,184.3,64.3,-1.7,20.4,0.091,Clear,5,1,172.3
12860,Express,Kalaburagi,Wadi,63.8,50.4,-5.0,15.0,0.341,Clear,8,4,90.0
12301,Rajdhani,Gaya,Howrah,198.4,69.3,-1.6,9.8,0.441,Fog,10,0,186.5
12301,Rajdhani,Kanpur,Prayagraj,200.2,69.9,9.7,8.7,0.175,Fog,2,1,178.1
12860,Express,Kalaburagi,Wadi,96.0,65.4,25.5,16.0,0.204,Fog,8,4,102.6
12627,Express,Warangal,Secunderabad,195.5,62.6,6.1,0.0,0.213,Heavy Rain,9,0,198.3
12259,Duronto,DDU,New Delhi,204.2,69.1,-5.0,0.0,0.105,Heavy Rain,9,0,218.5
12860,Express,Pune,Solapur,189.8,59.9,21.8,8.6,0.492,Heavy Rain,2,0,215.1
12860,Express,Pune,Solapur,185.3,55.4,13.8,10.1,0.202,Clear,3,2,199.1
12301,Rajdhani,DDU,Gaya,106.5,54.2,13.6,0.0,0.51,Clear,9,2,165.3
12951,Rajdhani,Ratlam,Kota,231.9,79.2,6.4,8.9,0.592,Rain,7,5,202.4
12860,Express,Solapur,Kalaburagi,193.0,67.8,19.9,2.8,0.539,Heavy Rain,6,2,189.2
12860,Express,Wadi,Secunderabad,161.8,64.0,-5.0,15.0,0.12,Rain,9,1,174.2
12723,Express,Vijayawada,Gudur,210.0,66.1,20.9,15.2,0.452,Clear,5,5,222.8
12860,Express,Kalaburagi,Wadi,93.8,63.6,12.5,1.3,0.252,Clear,8,0,93.6
12951,Rajdhani,Surat,Vadodara,148.9,68.7,7.3,0.0,0.229,Clear,2,1,140.3
12723,Express,Hyderabad,Kazipet,135.3,59.5,-5.0,0.8,0.256,Heavy Rain,0,3,149.0
12951,Rajdhani,Mumbai,Surat,206.7,63.9,15.4,6.1,0.184,Clear,0,5,188.2
12860,Express,Wadi,Secunderabad,152.2,64.6,34.6,15.4,0.27,Clear,11,2,185.6
12627,Express,Chennai,Gudur,124.9,50.0,22.1,13.2,0.254,Clear,0,2,175.2
12860,Express,Solapur,Kalaburagi,198.9,72.5,-3.0,0.0,0.124,Clear,6,0,137.6
12301,Rajdhani,DDU,Gaya,183.1,77.3,9.5,9.2,0.097,Clear,7,3,146.6
12723,Express,Gudur,Chennai,170.5,61.1,31.0,9.3,0.597,Clear,9,5,222.1
12627,Express,Vijayawada,Warangal,178.4,63.9,1.6,8.8,0.171,Clear,6,6,196.1
12951,Rajdhani,Ratlam,Kota,237.4,74.3,8.4,10.8,0.482,Clear,7,5,193.6
12627,Express,Vijayawada,Warangal,186.1,68.3,-0.2,4.4,0.122,Rain,7,3,184.4
12301,Rajdhani,Gaya,Howrah,192.8,74.8,13.1,3.5,0.291,Rain,9,0,184.7
12951,Rajdhani,Ratlam,Kota,190.2,69.9,12.9,22.1,0.306,Clear,7,2,191.3
12301,Rajdhani,Prayagraj,DDU,175.8,60.6,3.9,13.2,0.372,Clear,4,4,183.2
12860,Express,Pune,Solapur,240.3,73.0,33.2,5.8,0.539,Rain,3,4,206.8
12259,Duronto,Gaya,DDU,160.1,66.6,2.3,21.2,0.564,Heavy Rain,6,1,203.7
12951,Rajdhani,Kota,New Delhi,286.2,88.9,46.0,22.3,0.094,Clear,9,5,222.9
12951,Rajdhani,Vadodara,Ratlam,177.7,70.2,25.4,10.0,0.306,Clear,5,4,191.9
12723,Express,Warangal,Vijayawada,211.8,73.4,19.8,14.5,0.074,Heavy Rain,2,4,223.2
12259,Duronto,Dhanbad,Gaya,222.0,87.6,-1.4,9.6,0.302,Clear,3,0,147.6
12259,Duronto,Gaya,DDU,158.8,67.2,16.9,12.0,0.436,Clear,6,1,174.7
12860,Express,Pune,Solapur,218.4,65.4,10.4,9.0,0.16,Clear,3,4,184.5
12259,Duronto,Dhanbad,Gaya,177.1,77.9,11.9,7.5,0.573,Clear,3,4,167.8
12627,Express,Vijayawada,Warangal,227.2,69.4,23.1,16.0,0.171,Clear,6,1,189.9
12627,Express,Chennai,Gudur,185.4,76.9,4.1,12.1,0.256,Clear,23,2,147.5
12301,Rajdhani,Prayagraj,DDU,217.1,73.4,12.5,13.6,0.168,Fog,5,1,182.1
12723,Express,Warangal,Vijayawada,246.7,70.8,26.0,0.0,0.311,Clear,2,5,213.8
12627,Express,Warangal,Secunderabad,136.3,48.2,13.0,19.6,0.179,Clear,9,0,214.1
12723,Express,Hyderabad,Kazipet,143.3,67.7,14.1,10.8,0.21,Clear,0,1,145.4
12723,Express,Hyderabad,Kazipet,91.3,42.3,9.9,16.1,0.148,Fog,23,5,162.3
12259,Duronto,Sealdah,Asansol,160.1,61.6,21.0,7.4,0.207,Fog,23,6,174.5
12951,Rajdhani,Surat,Vadodara,162.6,77.8,20.0,2.8,0.106,Heavy Rain,2,3,138.2
12259,Duronto,Dhanbad,Gaya,216.2,83.6,9.8,14.7,0.142,Clear,3,2,155.1
12627,Express,Gudur,Nellore,83.5,67.4,19.8,7.9,0.402,Clear,1,3,82.6
12723,Express,Gudur,Chennai,193.8,57.5,29.7,4.4,0.1,Clear,8,2,206.9
12259,Duronto,DDU,New Delhi,171.5,58.7,-5.0,15.1,0.43,Clear,9,2,233.3
12860,Express,Kalaburagi,Wadi,85.2,55.6,13.0,16.0,0.376,Rain,8,2,101.1
12627,Express,Chennai,Gudur,193.0,77.5,-1.8,17.5,0.117,Rain,1,5,148.2
12259,Duronto,DDU,New Delhi,263.2,67.1,-4.0,1.1,0.334,Clear,9,2,208.6
12951,Rajdhani,Mumbai,Surat,194.4,72.3,-5.0,12.5,0.185,Rain,23,5,184.6
12627,Express,Chennai,Gudur,163.0,61.7,8.2,18.6,0.104,Clear,0,4,148.7
12723,Express,Warangal,Vijayawada,253.5,69.8,21.3,19.2,0.163,Clear,2,2,209.2
12723,Express,Warangal,Vijayawada,193.6,56.2,6.1,6.0,0.078,Rain,3,3,201.9
12259,Duronto,DDU,New Delhi,249.3,67.5,6.6,12.3,0.29,Clear,9,2,212.5
12723,Express,Warangal,Vijayawada,217.9,58.3,12.2,5.1,0.12,Fog,3,6,219.7
12627,Express,Chennai,Gudur,121.9,52.6,6.8,0.7,0.334,Rain,0,0,166.6
12259,Duronto,Dhanbad,Gaya,145.6,68.4,-5.0,12.1,0.162,Clear,3,2,149.2
12301,Rajdhani,Gaya,Howrah,205.1,70.3,5.2,17.4,0.432,Clear,11,5,186.8
12301,Rajdhani,Kanpur,Prayagraj,218.3,72.6,15.9,10.2,0.17,Heavy Rain,2,3,174.1
12860,Express,Mumbai,Pune,206.8,67.4,20.2,11.7,0.374,Clear,0,0,214.9
12627,Express,Chennai,Gudur,162.0,70.1,-3.8,19.7,0.435,Clear,0,0,146.2
12860,Express,Mumbai,Pune,209.9,59.0,19.5,3.3,0.49,Heavy Rain,0,4,217.8
12627,Express,Gudur,Nellore,60.1,64.7,31.3,13.6,0.398,Heavy Rain,2,5,95.3
